indx,id,NEW_TPSID,species,amt,dN,dC,%N,%C,C:N,run
99,South camp. snails,LSL24001SNA,SNA,0.537,7.051260888,-24.3343541,6.210025,41.345235,6.657821023,4
100,LC Amphipods,SOU24001AMP,AMP,0.515,8.493574996,-19.40743935,7.4792593,38.4229829,5.137271133,5
101,LC Ephemeroptera,SOU24001EPH,EPH,0.524,8.282293667,-22.65811057,11.0895897,46.8646487,4.226003844,5
102,LC MUSSELS,SOU24001MUS,MUS,0.526,8.50058,-24.69457,11.97309,46.4648,3.88077,3
103,LC Snails,SOU24001SNA,SNA,0.507,7.896956767,-21.15865632,10.5938055,44.6016637,4.210164487,5
104,VD Amphipods,VAU24001AMP,AMP,0.503,7.304362943,-25.74093998,9.1876493,38.2336579,4.16141895,5
106,VD Ephemeroptera,VAU24001EPH,EPH,0.54,5.219720494,-32.27969295,11.0954533,46.0354868,4.149040653,5
107,VD mussels est,VAU24001MUS,MUS,0.5,8.670009483,-37.26470897,NA,NA,NA,NA
108,VD Plankton,VAU24001PLK,PLK,0.5065,7.79634661,-33.91665615,8.7696675,52.24944895,5.958206111,5
109,VD Snails,VAU24001SNA,SNA,0.487,5.944113623,-27.98557143,9.7375912,39.4087659,4.04707541,5
